essay_id	essay_set	essay	rater1_domain1	rater2_domain1	domain1_score
6079	3	"In the text, the features of the setting greatly affect the cyclist. For example, the text states, “There was no one in sight, not a building, or structure of any kind.” This made the cyclist very lonely and they started to lose hope of finding water. Secondly, the text stated, ""In an ironic twist the building abandoned years easlier, by the looks of it-had been a Welch’s Grape Juice factory” This made the cyclist lose more hope, after he thought the building would have people in it and he got excited. Lastly, the text states, “GRAPE AND @CAPS1’S FISH CAMP” The sight of this building gave the cyclist hope and happiness for finding a place to get a drink. The setting’s features greatly affect the cyclist's feelings."	2	3	3
6080	3	The features of the setting made the cyclist’s ride longer and harder than he expected. When the cyclist first headed out the road was flat and smooth. Halfway through his trip the “Flat road was replaced by short, rolling hills.” The cyclist continues to pedel even though he was slowed down to 12 mph. The hills made the ride slower and harder because of the hills. Tuoards the end of the hills he had to make it “Over on long, crippling hill”. The word “crippling“ is used to show the phisical affect that the hill had on him. The hills were a feature of the setting which made the cyclist’s ride longer, harder, and more phisically demanding.	1	2	2
6081	3	There are numerous features in the setting that effect the cycleist. For example  the rough road. A nother example is the tumble weed and the snake also affected the cyclist. In conclusion those are the reasons the setting affects the cyclist.	2	2	2
6082	3	Sun, amount of miles, people all are reasons why the setting affects the cyclist. For example, the sun was beating down on him every time and the cyclist seemed to complain that it was so hot. Also, he said that he really didn’t seem to notice it through in his mind it affected the cyclist. Next, the amount of miles that the cyclist was biking affected him mentally because people kept,	1	1	1
6083	3	The setting is like a desert with no water or people civilizations anywhere around him. This make him more worried because if he dies know one will know for days or weeks probably.	1	1	1
6084	3	There are several features that the cyclist encountered, and all of them affected the cyclist. For example, “several rusty bumps,” is a quote of the text explaining that he wasn’t riding on smooth ground he was riding on rough, hard, bumpy ground. Also he had a huge lack of water he was water depleted he couldn’t even go the speed limit, he was going 12 mph, he could have been going 55 mph. “Rough roads ahead Do not exceed posted speed limit,''  this is another quote expressing the dangers in the ride that he was risking. All these things made the cyclist uncomfortable, dehidrated, and very tired.	3	2	3
6085	3	The setting in “Rough Road Ahead: Do Not Exceed Posted Speed Limit” was a very large factor of the story that was actually the cause of the protagonist’s problem throughout. First it started off with the large hills he had to ride up, making him work harder and tire himself out quickly. Next the big problem was the heat of June, “ and the growing realization that I could drop from a heatstroke on a gorgeous day in June simply because ” The heat was so really bad because it made him hot, thus depleting his water supply [which he needed to survive] and it gave the large, almost inevitable risk of falling from a heatstroke and dying. The heat also made the abandoned Juice Factory all the more ironic and bitter for the protagonist. “A sand blasted picture of a young boy pouring a refreshing glass of juice into his mouth could still be seen.” @CAPS1, in the unbearable heat with no water left and @CAPS2 knows how many miles left to cycle, this really made him feel like the sorriest, unluckiest man in the world. The setting overall, seemed almost crafted to make the protagonist not only suffer from the natural elements, but from things that seemed meant purely taunt him for it. 	3	3	3
6086	3	"The features of the setting affect the cyclist because it is hard to go far on a bike when the place, you are ridding is dry, abandoned, a quiet, hot cold and straight forward. It tells you that the setting is abandoned when if says “there was none in sight, not a building, car or structure of any kind"". This would make it hard for a cycler because you need a good water supply and thats hard to keep when there is nothing around."	1	1	1
6087	3	The cyclist choose to take an old abandoned route to @LOCATION1. The route had in some places no buildings at all to see making the cyclist loss hope of his need for water. Until the end there was no one on the route making him all alone. So if something happen who would know. During his adventure he ran out of water making him dehydrated that didn’t help. The setting of the story seems tragic to the cyclist.	2	2	2
6088	3	"The features of the setting effected the cyclist very much. The text says, “The sun was beginning to beat down”(Kurmaskie @NUM1). The hot sun was making the cyclist sweat. He was losing water. This was making him dehadrayted faster. The text says. “Flat road was replaced by short, rolling hills"" (Kurmaskie @NUM2). The hills the cyclist had to ride up were wearing him out. He was getting tierd faster. The text says. “I stubled into a rather modern in bathroom and drank deeply from the sink"" (Kurmaskie @NUM3). The modern bathroom had good, cold water. This allowed the cylist to drink from it. The water replenished the cyclist allowing him to regain some of his strength. Then the cyclist could carry on."	2	2	2
