essay_id	essay_set	essay	rater1_domain1	rater2_domain1	domain1_score
6780	3	"In the story “Do not exceed posted speed limit” by Joe Kurmaskie the setting affected the cyclist in a hard way. With only a few sips of water left he said'' … abandoned years earlieR, by the looks of it it had been a @CAPS1 Grape Juice factory and bottling plant. A sand blasted picture of a young boy pouring a refreshing glass of Juice into his mouth could still be seen. I hung my head.'' When only having a few drops of water and seeing that would have increased my thirst more. Another way the setting affected the cyclist in a hard way was "" The speed limit was 55 mph. I was doing a water-depleting 12 mph. sometime ife can feel so cruel.'' This remind him that hes not in a car, and that hes not even going half the speed limit. The setting affects the cyclist by reminding him how long his journey is, and now at this point he is suffering."	3	2	3
6781	3	In the essay, “Rough Road Ahead:Do Not Exceed Posted Speed Limit,” the setting the cyclsit is in effects him greatly. One evening when he was resting he got into a deep conversation with a couple of elders. Eventually they got to talking about his journey, and the two men gave him direction for a shortcut. “But on that morning it fit the traditional definition of a ghost town.” When he arrives at the first town, he finds it deserted, this effects the cyclist because has eventually going to need more water. As he continues, he comes to a slep in the road. “After I had arrested the first few of these a large highway sign jumped out at most read:ROUGH ROAD AHEAD:DO NOT EXCEED POSTED SPEED LIMIT” This sign was indicating that the road was going to be bumpy, which makes it even more challamging for the cyclsit. So, the setting is very important in this essay because it has a lot to do with how the cyclist feels. When the abandoned towns come into pray, no enging to feel hopeless. When the road get bumpy, he gets tired. When he gets to an actual running store, he’s relieved.	2	2	2
6782	3	The feature of the setting affects the cyclist because the features is just a brief preview of what the text is going to be about or who is involved in it. The cyclist gives you what you want and need to know so the affect would be about time the feature is finish play in noone would want to see the cyclist.	0	0	0
6783	3	"In the story, ""Rough Road Ahead: Do not Exceed Posted Speed Limit,"" by Joe kurmaskie, the features of the setting affect the cyclist. The setting of a story is the background, place, and time the story took place. In the story, a cyclist needs to get to @CAPS1 Park. He stops and gets direction from a group of old men, who aren’t up with the times, and the cyclist gets lost. He faces drought, a snake, and being lost in the desert, the cyclist says, ""At some point, tumbleweeds crossed my path and a ridiculously large snake – it really did look like a diamond back – blocked the majority of the pavement in front of me. I eased past, to"	1	2	2
6784	3	The cyclist choose the worst time to ride his it was an “early summer evening” in California. At this time the sun is hot and with little water and also lost, it was hot the best choice that he made. A cyclist before do a trip he or she should be prepared for whether conditions and also check a map of the place before going anywhere. 	1	1	1
6785	3	The cyclist run into a diamond headed snake, is out of water and is in the middle of nowhere the thing I would do is find some rope or cord time old building or tree and hang myself for taking directions from old people  that havent left their porches since carter was in office.	1	1	1
6786	3	The features of this particular setting affected the cyclist in many different ways. Upon arriving at the “ghost town” early in his journey, he felt slight amusement at the situation. But he soon became very troubled when he became aware of the several rusty pumps and a weak corral, next to a ramshackle shed. The cyclist additionally experienced a bit of irony as he approached the 55 mph speed limit sign complete with a warning to strictly obey it. On his bicycle, at a pace of 12 mph, he could not even reach the 55 mph speed if he had wanted to. Before he reached what appeared to be an abandoned welch’s Grape Juice factory, the cyclist felt this twisted amusement yet again, as he laughed. The text states, “It was a sad hopeless laugh, mind you, but at least I still had the energy to feel sorry for myself.” @CAPS1, his suffering was through when he discovered a “fish camp,” with a modern bathroom and working sinks. The cyclist’s relief was so immense that he,” had an overwhelming urge to seek out Gary and Wilber (the owners), (and) kiss them.	1	1	1
6787	3	The setting of this story takes place with a man biking and then taking advice from old timers to a faster route. The biker knew from the start that he should have not given his map. But thinking the old folks knew the route he took theyre advice. What the biker should have done was look for someone to ask and make sure the route would work. But jumping to where he wanted to go led him to dehydration and much more struggle than needed. You should always think things out before you take action, just to be safe.	2	1	2
6788	3	The features of the setting affect the cyclist because he first didn’t know where he was going and took directions from people that he wasn’t really sure about. It was hot he was running out of water he had no idea where he was there were snakes. His water was running out. there were no sings he kept thinking that he would never take directions from an old guys and that he would stick to the future.	1	1	1
6789	3	At first when he gets the directions from the old men, he thinks he will be fine. When he gets to the first town he’s tired and almost out of water, but still thinks he will be in Yosemite soon. When he gets to the water pump in the middle of the desert, he’s tired and thirsty and he realizes that the directions the old men gave him were out of date. He’s really not happy about listening to them and not following his map. When he gets to the fishing place he is greatful for the water in the sink and for the rest and when the old man offers to give directions to Yosemite he thinks he will just use his map. Throughout the story the cyclists needs change from feeling confident to feeling depressed to feeling relived.	2	3	3
6790	3	In the story ‘Do Not Exceed Posted Speed Limit, the setting seemed to affect the main character (the cyclist) very much during his pedal, for example, whole the dry desert setting made him think that he could survive with out water, he became dehydrated. The first town, with @NUM1 degree watter could not satisfy his standards. The old velches June factory, was all run down, and is no longer in business, much like the desert, just old barren unuseland. While yes the cycalist survived the pedal, the desert setting opposed a great challenge for him. 	2	2	2
6791	3	There are many features of the setting that effect the cyclist. One feature is that it is getting hotter and it will eventually effect him. The line “I wiped the sweat from my eyes to make sure it wasn’t a mirge.” shows that the heat  might be starting to effect him. Another feature is that he is in the desert and running low on water. The line “I had been hitting my water bottles pretty regularly” shows that he is drinking a lot of water and is running low. Another feature is that he is riding in the high deserts of California in June. The story says “and I was traveling through the high deserts of California in June.” Not only is it in June, but it adds heat because he is also in a desert. There is no doubt he will get dehydrated. Those are some of the many features that effect the cyclist.	2	2	2
