numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																										class
302	246	56	0.440677966	0.118644068	4	4.118644068	3	0	0	16	18.66666667	43	0.491525424	9.60952381	70.05261905	8.125714286	6.254152381	9	10.50422373	31.16666667	63.33286585	0.954545455	0.767857143	5.746116701	317.4603175	74.92513736	0.589285714	0.801783726	0.472222222	7.333333333	0.232142857	0	1	8	0	0	7	2	0	0	0	1	11	0	0	0	1	0	5	0	3	1	0	0	0	2	0	5	3	0	1	2	2	0	0	1	3	0	2	0	0.019429677	1.8	-0.023648477	0
207	169	40	0.547619048	0.142857143	3	3.857142857	2	0	0	17	20	31	0.5	12	68.095	8.73	8.97075	8	13.0238668	35	55.21050607	1.307692308	0.775	4.901530373	511.2960761	56.05833333	0.55	1.423024947	0.388888889	6	0.2	2	1	5	0	0	8	2	1	0	0	0	7	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	1	3	3	0	0	1	5	0	0	1	0.007603202	3.6	0.003339905	0
792	657	136	0.52	0.206666667	3	4.346666667	5	0	0.4	21	27.2	69	0.453333333	17.64470588	52.327	12.718	8.700914118	15	14.26529262	49.99411765	37.97074073	2.607142857	0.507352941	5.916701187	1630.859375	39.18733538	0.279411765	1.972233729	0.416666667	7.2	0.125	8	0	23	0	0	20	8	0	0	0	1	45	0	0	0	0	0	4	4	3	0	0	0	0	4	0	4	2	2	2	0	7	0	0	0	2	0	0	0	0	4.8	0.112838973	3
378	314	65	0.394366197	0.183098592	4	4.38028169	6	0	0	10	10.83333333	47	0.422535211	9.256410256	70.89147436	6.062692308	7.817679487	7	9.725611199	30.83333333	55.80385517	1.08	0.723076923	5.829632526	448.9603025	67.02521368	0.553846154	1.61245155	0.444444444	5.166666667	0.246153846	2	0	10	0	0	6	4	1	0	0	1	13	0	0	0	0	0	1	0	6	2	0	0	0	3	0	3	1	5	0	1	6	0	0	0	2	0	1	2	0.07061832	4.8	0.065129558	2
703	576	128	0.457746479	0.133802817	4	4.007042254	9	0.111111111	0	11	14.22222222	70	0.478873239	9.126388889	79.37913194	5.720729167	6.932469097	7	8.51512884	29.06597222	41.38579948	1.325	0.546875	6.187184335	902.205391	46.86153017	0.328125	1.50260191	0.416666667	5.5	0.1640625	2	0	17	0	0	16	11	0	0	0	7	29	0	0	0	0	0	3	8	8	0	0	0	0	5	0	9	7	3	0	0	2	2	0	0	4	0	0	0	0.158255274	4.8	0.0935884	2
397	327	71	0.421052632	0.118421053	3	4.276315789	5	0	0	11	14.2	43	0.513157895	9.06028169	73.26707042	6.56771831	6.787158028	7	8.841846275	26.87605634	38.32548421	2.133333333	0.605633803	5.10316113	1456.9161	35.34305835	0.422535211	1.186781658	0.388888889	5.4	0.183098592	3	0	18	0	0	7	0	0	0	0	1	22	0	0	0	1	0	0	0	2	0	0	0	0	2	0	4	4	0	1	1	3	0	0	2	3	0	1	0	0.096377603	2.7	-0.008586691	1
498	407	93	0.421568627	0.107843137	4	3.970588235	3	0	0.333333333	39	31	64	0.490196078	15.41075269	63.47967742	12.10645161	8.230229032	15	9.725611199	42.82795699	57.20976784	1.40625	0.688172043	6.636490846	558.3333333	77.45494994	0.440860215	1.659122712	0.527777778	8.75	0.225806452	3	1	15	0	1	12	3	0	0	0	1	23	0	0	0	0	0	4	0	6	1	0	0	0	2	0	4	2	5	3	1	6	0	0	2	4	0	2	1	0.263848866	4.8	0.066181257	0
454	373	86	0.542553191	0.159574468	3	3.946808511	4	0	0	21	21.5	46	0.542553191	12.78604651	67.9497093	9.122906977	7.82417907	10	10.68635297	38.94186047	33.88851837	1.379310345	0.534883721	4.960307567	1332.644628	28.91046512	0.302325581	1.186160505	0.444444444	7.75	0.209302326	4	0	13	0	0	8	6	0	0	0	0	20	1	0	0	0	0	5	3	3	0	0	0	0	4	0	5	0	3	4	2	4	0	0	1	0	0	0	0	0.059856361	4.8	0.03182595	2
